property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category
flat,hayathnagar,3.0,3.0,1,Under Construction,1326.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,gajulramaram,3.0,3.0,2,Under Construction,1161.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,gajulramaram,3.0,2.0,2,Under Construction,1161.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,tarnaka,3.0,2.0,2,Moderately Old,1490.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,kokapet,3.0,3.0,2,Under Construction,1870.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,bowrampet,2.0,2.0,2,Relatively New,1122.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,gandimaisamma,2.0,2.0,2,Under Construction,1100.0,1.0,0.0,1.0,Low,unfurnished,Low Floor
flat,ghatkesar,2.0,2.0,1,New Property,905.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,ghatkesar,3.0,3.0,2,New Property,1360.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,muthangi,2.0,2.0,2,Relatively New,1185.0,0.0,0.0,0.0,High,unfurnished,Mid Floor
flat,madinaguda,3.0,2.0,1,New Property,1400.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kokapet,3.0,3.0,3,Under Construction,2120.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,pocharam,2.0,2.0,1,Under Construction,1152.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,pocharam,2.0,2.0,1,Relatively New,1205.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manikonda,2.0,3.0,3,Moderately Old,1685.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,chandanagar,3.0,2.0,2,Old Property,1325.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,kondapur,2.0,2.0,2,Under Construction,1433.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,narsingi,3.0,3.0,2,Relatively New,1770.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,osman nagar,3.0,3.0,3,Moderately Old,2350.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kompally,2.0,2.0,1,New Property,1312.5499659999998,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manikonda,3.0,3.0,2,Relatively New,2270.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,sanath nagar,3.0,3.0,2,Old Property,1645.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,suchitra,3.0,3.0,2,Moderately Old,1400.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,tukkuguda,3.0,3.0,2,Under Construction,1530.0,1.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,manikonda,3.0,3.0,2,Old Property,1475.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,narsingi,3.0,3.0,1,Under Construction,2600.0,1.0,0.0,0.0,Low,unfurnished,High Floor
flat,east marredpally,2.0,2.0,3,Old Property,1100.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,nagole,3.0,3.0,4,New Property,2200.0,1.0,0.0,1.0,Low,unfurnished,Low Floor
flat,nizampet,3.0,3.0,2,Old Property,1475.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,aminpur,3.0,2.0,1,Under Construction,1039.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manikonda,3.0,3.0,1,Old Property,1923.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,bachupally,2.0,2.0,2,New Property,1160.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,peerzadiguda,3.0,3.0,2,New Property,1525.0,0.0,0.0,1.0,Low,semifurnished,Low Floor
flat,ameerpet,3.0,3.0,2,New Property,2249.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,gachibowli,3.0,3.0,1,Relatively New,1993.0,1.0,0.0,0.0,Low,semifurnished,Mid Floor
flat,kompally,3.0,2.0,1,New Property,1525.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kukatpally,3.0,3.0,2,Moderately Old,1600.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,miyapur,3.0,2.0,3,Old Property,1526.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,kondapur,3.0,3.0,2,Relatively New,1945.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,yapral,3.0,3.0,2,Old Property,1550.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,yapral,4.0,3.0,3,Moderately Old,2564.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,ramachandrapuram,3.0,3.0,2,New Property,1520.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,nallagandla,3.0,3.0,2,Under Construction,1754.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,nanakramguda,3.0,3.0,2,Moderately Old,1920.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,gachibowli,3.0,3.0,1,Relatively New,1725.0,0.0,0.0,0.0,Low,furnished,Low Floor
flat,kondapur,3.0,3.0,3,New Property,2534.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,kukatpally,2.0,2.0,2,Moderately Old,1230.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,bachupally,2.0,2.0,2,New Property,1145.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,yapral,3.0,3.0,3,New Property,1790.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,bahadurpally,2.0,2.0,1,New Property,1185.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,miyapur,3.0,3.0,2,Relatively New,1686.0,0.0,0.0,1.0,Low,semifurnished,Mid Floor
flat,kompally,3.0,2.0,1,New Property,1525.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,ghatkesar,2.0,2.0,2,Under Construction,1050.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,bolarum,2.0,2.0,2,New Property,1140.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,nanakramguda,3.0,3.0,1,Relatively New,1695.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,nallagandla,3.0,3.0,2,Old Property,1683.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,bachupally,3.0,2.0,1,Under Construction,1353.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,manikonda,3.0,2.0,1,Relatively New,1600.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,narsingi,3.0,3.0,1,Relatively New,1680.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,gachibowli,3.0,2.0,1,Relatively New,1495.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,new malakpet,2.0,2.0,1,New Property,840.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kokapet,3.0,3.0,2,New Property,1905.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,osman nagar,3.0,3.0,2,Under Construction,1725.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,shaikpet,3.0,3.0,2,New Property,2100.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,kondapur,2.0,2.0,2,Relatively New,1121.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,shaikpet,3.0,3.0,2,Relatively New,2100.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,isnapur,1.0,1.0,1,Relatively New,625.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manchirevula village,3.0,2.0,2,New Property,1375.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,suchitra,3.0,3.0,4,Relatively New,1894.0,0.0,0.0,0.0,Low,semifurnished,Mid Floor
flat,moula ali,2.0,2.0,2,New Property,1240.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,masab tank,3.0,2.0,1,Old Property,1500.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,west marredpally,2.0,2.0,1,Old Property,1425.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kompally,3.0,3.0,1,New Property,2230.0,0.0,1.0,1.0,Low,unfurnished,Mid Floor
flat,bairagiguda,3.0,3.0,1,New Property,1400.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,appa junction,3.0,3.0,3,Under Construction,1580.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,puppalaguda,2.0,2.0,1,Relatively New,1314.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,bachupally,2.0,2.0,0,New Property,1180.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,kukatpally,2.0,2.0,2,Relatively New,1279.0,0.0,0.0,0.0,Low,unfurnished,High Floor
flat,tolichowki,4.0,3.0,2,Under Construction,1901.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,moula ali,3.0,3.0,2,New Property,1593.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,jai jawahar nagar,2.0,2.0,2,Old Property,870.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kompally,3.0,3.0,1,New Property,1820.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,patancheru,3.0,3.0,2,Under Construction,1367.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,gachibowli,3.0,3.0,2,New Property,1965.0,0.0,0.0,1.0,Low,unfurnished,High Floor
